Main: languish, Options: [ luxuriate in, deteriorate in, suffer in, laugh at ]
Main: cynics, Options: [ pessimists, delinquents, critics, illusionists ]
Main: essence, Options: [ importance, goal, characteristic, secret ]
Main: infer, Options: [ suppose, realize, deduce, agree ]
Main: nauseating, Options: [ disrespectful, disgraceful, discouraging, disgusting ]
Main: commodious, Options: [ gigantic, small, spacious, wide ]
Main: plausible, Options: [ fantastic, credulous, credible, entertaining ]
Main: substantiate, Options: [ prove, dismiss, weaken, expatiate on ]
Main: levity, Options: [ wastefulness, lassitude, seriousness, enthusiasm ]
Main: liberality, Options: [ prodigality, insensitivity, generosity, frugality ]
Main: heritage, Options: [ possession, history, heirloom, legacy ]
Main: utmost, Options: [ genuine, paramount, basic, standard ]
Main: insignia, Options: [ symbol, power, recognition, seal ]
Main: mottled, Options: [ spotted, brown, pimply, scaly ]
Main: pejorative, Options: [ contemptible, critical, superlative, palpable ]
Main: Funnily enough, Options: [ Disappointingly, Timidly, Fearlessly, Unexpectedly ]
Main: boomeranged, Options: [ backfired, catapulted, bounced, fell ]
Main: realistic, Options: [ authentic, lively, concrete, picturesque ]
Main: fateful, Options: [ disastrous, unsuccessful, wonderful, uncontrollable ]
Main: lively, Options: [ barking, frisky, howling, attractive ]
Main: observant, Options: [ inquisitive, inductive, curious, perceptive ]
Main: common, Options: [ rampant, ordinary, cogent, prevalent ]
Main: inexpressible, Options: [ ineffable, unbearable, wonderful, inevitable ]
Main: superficial, Options: [ a painless, a serious, an external, inevitable ]
Main: vital, Options: [ respectable, creditable, laudable, crucial ]
Main: poverty, Options: [ the slums, instability, want, crucial ]
Main: Courteously, Options: [ Calmy, Patiently, Politely, Carefully ]
Main: taciturnity, Options: [ sensibility, pervasiveness, obliviousness, reticence ]
Main: Accountability, Options: [ Responsibility, Respectability, Diligence, Courage ]
Main: sanctioned, Options: [ unleashed, opposed, supported, initiated ]
Main: monstrous, Options: [ supportive, tragic, shocking, verbatim ]
Main: meddlesome, Options: [ impertinent, intimidating, quarrelsome, uncaring ]
Main: relentless, Options: [ continuous, brutal, fierce, innocuous ]
Main: preparedness, Options: [ determination, regret, leisure, readiness ]
Main: convention, Options: [ eloquence, advice, prudence, tradition ]
Main: redeemable, Options: [ incurable, exclusive, recoverable, repulsive ]
Main: awry, Options: [ wide, wrong, recoverable, repulsive ]
Main: morbid, Options: [ inordinate, uncritical, ravenous, unpleasant ]
Main: a convoluted, Options: [ a simple, an attractive, a disgusting, a complicated ]
Main: reveled, Options: [ celebrated, mourned, fought, discussed ]
Main: retract, Options: [ assert, repeat, withdraw, reiterate ]
Main: arbitration, Options: [ trial, legislative, investigative, reconciliatory ]
Main: withstand, Options: [ survive, overcome, match, resist ]
Main: biased, Options: [ convinced, clever, prejudiced, worried ]
Main: exacting, Options: [ an unwarranted, an exciting, a demanding, a disturbing ]
Main: remonstrances, Options: [ protests, suggestions, complaints, regrets ]
Main: throng, Options: [ group, crowd, gathering, theme ]
Main: misgivings, Options: [ fears for, distrust of, hatred for, have for ]
Main: maladies, Options: [ damages, illness, wounds, crises ]
Main: camaraderie, Options: [ companionship, quarrelsome, commissioning, disunity ]
Main: posterity, Options: [ prosperity, future generations, national pride, collective gain ]
Main: commands, Options: [ requests, enjoys, enforces, conjures ]
Main: laudable, Options: [ laughable, good, praiseworthy, valuable ]
Main: stern, Options: [ strict, playful, conservative, wicked ]
Main: altercation, Options: [ alter ego, quarrel, deep love, conservative ]
Main: inscrutable, Options: [ ludicrous, unlearnable, inseparable, mysterious ]
Main: specious, Options: [ misleading, precious, spacious, true ]
Main: livery, Options: [ badge, shoe, uniform, cap ]
Main: sinister, Options: [ reasonable, joyful, hopeful, ominous ]
Main: unification, Options: [ restoration, agreement, cohesion, ominious ]
Main: forbearance, Options: [ hard work, patience, wisdom, good manners ]
Main: implication, Options: [ extension, inference, examination, application ]
Main: impasse, Options: [ gridlock, rally, manisfesto, party ]
Main: enthusiastic, Options: [ elated, nervous, bemused, agitated ]
Main: absurd, Options: [ sensible, ridiculous, dirty, smart ]
Main: tardy, Options: [ exclusive, generous, quick, slow ]
Main: sumptuous, Options: [ insipid, cheap, expensive, foreign ]
Main: panacea, Options: [ hope, trouble, cure, foresight ]
Main: retrenchment, Options: [ suffering, increase in penury, unemployment, trench mentality ]
Main: offhand, Options: [ unconcerned, calmly, beautifully, unprepared ]
Main: assortment, Options: [ sameness, melange, avalanche, homogeneity ]
Main: astounded, Options: [ embarassed, astonished, collected, overwhelmed ]
Main: apposite, Options: [ emphatic, adequate, appropriate, inconsequential ]
Main: blemish, Options: [ fault, blessing, struggle, problem ]
Main: eligible, Options: [ qualified, intelligent, nominated, invited ]
Main: abridged, Options: [ an illustrated, a shortened, an outdated, an enlarged ]
Main: inception, Options: [ renaissance, coming, commencement, publication ]
Main: detached, Options: [ friendly, careless, indifferent, passionate ]
Main: dwelt, Options: [ sat, worked, slept, lived ]
Main: ignominious, Options: [ a good, a palatable, a disgrace, a satisfactory ]
Main: compliments, Options: [ complements, intimates, disgust, praises ]
Main: ensnared, Options: [ tricked, encouraged, forced, enslaved ]
Main: astute, Options: [ a bad, a shrewd, an unprofitable, an insincere ]
Main: tactful, Options: [ passionate, discreet, hard-working, innovative ]
Main: dementia, Options: [ lucidity, senility, insanity, sagacity ]
Main: deleterous, Options: [ debilitating, helpful, harmful, healing ]
Main: belligerent, Options: [ beautiful, attractive, combative, innocent ]
Main: supersedes, Options: [ supports, displaces, eliminates, circumvents ]
Main: corrugated, Options: [ folded, iron, aluminium, corrupted ]
Main: exacerbated, Options: [ exaggrated, solved, aggravated, infuriated ]
Main: derogatory, Options: [ complimentary, unsavory, unwarranted, lackluster ]
Main: sovereignty, Options: [ autonomy, position, leadership, kingdom ]
Main: virtuous, Options: [ clever, upright, devilish, intelligent ]
Main: typical, Options: [ symptomatic, characteristic, universal, incontestable ]
Main: pretified, Options: [ frightened, delighted, agitated, happy ]
Main: shimmers, Options: [ darkens, lightens, shines, beams ]
Main: vulnerable, Options: [ liable, lifted, immuned, closed ]
Main: furtive, Options: [ intoxicated, unfriendly, sad, sly ]
Main: espoused, Options: [ condemned, rejected, supported, outlined ]
Main: foreclose, Options: [ exclude, consider, underestimate, forgo ]
Main: exploded, Options: [ challenged, projected, confirmed, debunked ]
Main: incessant, Options: [ unusual, planned, constant, irregular ]
Main: favorable, Options: [ impartial, abnormal, encouraging, disapproving ]
Main: aghast, Options: [ fulfilled, dismayed, satisfied, relaxed ]
Main: jaunty, Options: [ a discouraging, an inviting, a frightful, a cheerful ]
Main: doddle, Options: [ easy, balanced, dodgy, exasperating ]
Main: lustful, Options: [ hateful, quick, covetous, envious ]
Main: fomenting, Options: [ inciting, discouraging, preventing, envious ]
Main: learn, Options: [ invest, accumulate, allow, discover ]
Main: garner, Options: [ collect, disseminate, distort, give ]
Main: severing, Options: [ breaking, securing, swapping, strengthening ]
Main: gruff, Options: [ gracious, musical, husky, polite ]
Main: fraught, Options: [ difficult, pleasant, wonderful, solemn ]
Main: scowled, Options: [ whispered, grimaced, screeched, screamed ]
Main: obviate, Options: [ prevent, improve, promote, worsen ]
Main: hoodwinked, Options: [ grouped, lured, deluded, drove ]
Main: gaiety, Options: [ exhilaration, depression, moodiness, desperation ]
Main: pungent, Options: [ placid, mild, illegal, acrid ]
Main: languid, Options: [ a sheepish, a sluggish, a friendly, an energetic ]
Main: heckled, Options: [ cheered up, applauded, shouted down, restrained ]
Main: restive, Options: [ lively, relaxed, patient, unruly ]
Main: impromptu, Options: [ unprepared, improper, controversial, important ]
Main: maligned, Options: [ slandered, cherished, praised, hounded ]
Main: cogent, Options: [ a convincing, an important, a tentative, an unacceptable ]
Main: attune, Options: [ familiar with, ready with, free from, planning for ]
Main: averred, Options: [ argued, confirmed, denied, affirmed ]
Main: frugality, Options: [ extravagance, economy, recklessness, prudence ]
Main: underscores, Options: [ justifies, summarizes, emphasizes, clarifies ]
Main: adroit, Options: [ emphasized, skillful, tactless, clumsy ]
Main: ignoble, Options: [ embarrassing, honourable, extraordinary, dishonorable ]
Main: sanctioned, Options: [ unleashed, oppsosed, supported, unitiated ]
Main: offended, Options: [ irritable, stubborn, troublesome, docile ]
Main: monstrous, Options: [ supportive, tragic, shocking, verbatim ]
Main: soothe, Options: [ examine, treat, calm, induce ]
Main: phantom, Options: [ scary, realistic, fanciful, interesting ]
Main: repugnant, Options: [ unpleasant, attractive, ungodly, encouraging ]
Main: optional, Options: [ unnecessary, recommended, hard to justify, a matter of choice ]
Main: waned, Options: [ increased, changed, declined, skyrocketed ]
Main: stealthily, Options: [ loudly, slowly, fast, quietly ]
Main: chattered, Options: [ played, talked, looked, ran ]
Main: FEROCIOUS, Options: [ Feeble, Lovely, Unpleasant, Objective ]
Main: METEORIC, Options: [ Rising, Weak, Dangerous, Beautiful ]
Main: OBLIVION, Options: [ Insanity, Unconsciousness, Stupidity, Garrulity ]
Main: pilferer, Options: [ Hypocrite, Liar, Criminal, Thief ]
Main: belligerent, Options: [ Patient, Combative, Innocent, Attractive ]
Main: timorous, Options: [ Happy, Nervous, Aggressive, Excited ]
Main: ably, Options: [ poorly, inexpertly, deftly, ineptly ]
Main: wee, Options: [ safe, dangerous, late, early ]
Main: fiscal, Options: [ financial, social, political, religious ]
Main: abrasive, Options: [ delightful, exciting, good, unpleasant ]
Main: abreast, Options: [ insensitive to, unaware of, current with, blind to ]
